timestamp,user_id,action,concept,dimension,page,ab_group
2026-04-25T17:14:56.196756,9e5f18e6b222,login,,,app,control
2026-04-25T17:15:50.577968,7f4a5c960f8b,login,,,app,experiment
2026-04-25T17:39:15.691824,914d2358a19b,login,,,app,experiment
2026-04-25T17:42:17.121615,6731cbafdaba,login,,,app,control
2026-04-25T17:43:26.707171,9a8f3a70becc,login,,,app,control
2026-04-25T17:45:04.042854,f49faa8aaae8,login,,,app,experiment
2026-04-25T17:48:14.489184,f93d9c16f9fe,login,,,app,control
2026-04-25T17:48:49.464948,f258cdeba7c0,login,,,app,control
2026-04-25T17:50:16.229527,f258cdeba7c0,logout,,,app,control
2026-04-25T17:50:57.508736,fe2b4746ab15,login,,,app,experiment
2026-04-25T17:51:18.162754,fdebca1a1cd0,login,,,app,experiment
2026-04-25T17:54:46.304063,7220208c3f2e,login,,,app,control
2026-04-25T17:57:10.548957,9076febe4fc7,login,,,app,experiment
2026-04-25T17:57:43.162554,cc2ab5bf266f,login,,,app,experiment
2026-04-26T08:33:48.478227,abc7fc772116,login,,,app,control
2026-04-26T11:08:45.445045,7573d24f1b95,login,,,app,experiment
2026-04-26T13:22:22.583280,d9fda8c0f049,login,,,app,control
2026-04-26T13:31:42.524909,ddcb0a6498ac,login,,,app,experiment
